07-08-2025;Name;2025-01-01;2025-08-06;2025-08-05;2025-08-04;2025-07-31;2025-07-07;2025-05-07;2025-02-07;2024-08-07;2020-08-07
COST;Costco Wholesale Corporation;916,27;968,56;943,63;955,37;939,64;992,18;1007,15;1043,81;810,30;340,91
BAC;Bank of America Corporation;43,95;45,42;45,56;45,85;47,27;48,66;40,93;47,40;37,30;26,11
ORCL;Oracle Corporation;166,64;256,43;255,67;252,53;253,77;232,26;149,37;174,46;125,90;55,23
UNH;UnitedHealth Group Incorporated;505,86;245,78;251,00;240,98;249,56;303,71;391,06;527,03;566,08;317,03
NFLX;Netflix, Inc.;891,32;1178,48;1147,87;1170,99;1159,40;1289,62;1155,41;1013,93;611,48;494,73
PG;The Procter & Gamble Company;167,65;152,86;150,51;150,76;150,47;160,50;159,29;167,97;170,02;133,55
NONOF;Novo Nordisk A/S;85,90;45,50;47,64;49,32;47,99;70,12;66,00;85,50;119,50;31,82
JNJ;Johnson & Johnson;144,62;170,59;170,74;171,04;164,74;155,27;157,30;153,12;158,90;148,60
HD;The Home Depot, Inc.;388,99;386,80;385,41;380,82;367,51;367,64;362,75;407,37;342,40;271,64
LVMUY;LVMH Moët Hennessy - Louis Vuitton, Société Européenne;130,69;106,72;105,80;106,76;107,62;111,17;110,17;140,63;135,53;88,50
BABAF;Alibaba Group Holding Limited;10,02;15,30;14,77;15,40;15,06;13,60;15,67;12,50;9,97;31,60
SAP;SAP SE;246,21;291,78;285,19;283,79;286,70;305,53;297,33;279,64;201,59;161,17
TMUS;T-Mobile US, Inc.;220,73;239,22;238,93;241,01;238,41;237,63;251,26;246,24;190,59;115,09
KO;The Coca-Cola Company;62,26;69,51;69,05;68,96;67,89;71,01;72,40;63,84;68,46;47,80
SSNLF;Samsung Electronics Co., Ltd.;40,60;40,60;40,60;40,60;40,60;40,60;40,60;40,60;40,60;44,20
CRM;Salesforce, Inc.;334,33;249,17;247,49;252,32;258,33;269,80;278,23;325,83;240,04;201,05
CVX;Chevron Corporation;144,84;152,78;153,04;151,04;151,64;147,40;135,79;152,62;142,41;86,80
WFC;Wells Fargo & Company;70,24;77,61;77,96;77,58;80,63;82,34;73,18;80,67;52,29;25,07
NSRGF;Nestlé S.A.;81,02;88,92;89,19;87,81;86,51;98,58;107,00;84,95;103,99;117,29
CSCO;Cisco Systems, Inc.;59,20;69,21;67,52;68,49;68,08;68,93;59,57;62,27;45,12;47,43
PM;Philip Morris International Inc.;120,35;166,99;164,14;162,99;164,05;181,20;175,36;144,41;115,74;77,50
TOYOF;Toyota Motor Corporation;19,64;19,39;18,19;19,01;18,00;16,66;18,32;19,15;16,66;64,49
AZN;AstraZeneca PLC;65,52;73,60;74,48;74,59;73,09;69,63;70,07;71,99;80,62;55,41
IBM;International Business Machines Corporation;219,83;252,28;250,67;251,98;253,15;292,47;253,37;252,34;186,80;119,46
GS;The Goldman Sachs Group, Inc.;572,62;724,74;720,91;726,03;723,59;710,93;551,92;655,90;473,01;208,27
MS;Morgan Stanley;125,72;141,30;140,46;141,36;142,46;143,74;119,10;139,98;92,11;50,35
